_ts,@timestamp,TimeCreated,EventID,Hostname,Channel,Level,Task,Keywords,ProviderGuid,SourceName,UtcTime,ProcessGuid,ProcessId,Image,CommandLine,CurrentDirectory,SubjectUserName,Hashes,ParentProcessGuid,ParentProcessId,ParentImage,ParentCommandLine,IntegrityLevel,SubjectLogonId,LogonGuid,TerminalSessionId,TargetFilename,CreationUtcTime,EventType,TargetObject,Details,NewName,Protocol,Initiated,SourceIsIpv6,SourceIp,SourceHostname,SourcePort,SourcePortName,DestinationIsIpv6,DestinationIp,DestinationHostname,DestinationPort,DestinationPortName,ImageLoaded,Signed,Signature,SignatureStatus,Company,Product,Description,FileVersion,OriginalFileName,SourceProcessGuid,SourceProcessId,SourceThreadId,SourceImage,TargetProcessGuid,TargetProcessId,TargetImage,GrantedAccess,CallTrace,PipeName,QueryName,QueryStatus,QueryResults,RuleName,ClientId,_Source
1.78169E+12,,,,,,,,,,,2026-06-17 9:43:27, {f4ba3e13-6893-6a32-1400-000000002400},1064,C:\Windows\System32\svchost.exe,,,NT AUTHORITY\NETWORK SERVICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,_ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.APT.LOCAL.,1460,-,-,C.4f04b5de911bf0cd,C.4f04b5de911bf0cd
1.78169E+12,,,,,,,,,,,2026-06-17 9:44:07, {f4ba3e13-6c66-6a32-af00-000000002400},2148,C:\Users\Administrator\Desktop\068af8016c36fce5cf1e1a4722c1dc0d6e02cb6ed58b61c2ba99a54d294cc274.exe,"""C:\Users\Administrator\Desktop\068af8016c36fce5cf1e1a4722c1dc0d6e02cb6ed58b61c2ba99a54d294cc274.exe"" ",C:\Users\Administrator\Desktop\,CHILD\Administrator,"MD5=F0B9F50C6A247AC5CA9CC95135B83DCF,SHA256=068AF8016C36FCE5CF1E1A4722C1DC0D6E02CB6ED58B61C2BA99A54D294CC274,IMPHASH=E24946FD3B548D18411EA3DC85666A69", {f4ba3e13-6a2d-6a32-5d00-000000002400},4052,C:\Windows\explorer.exe,C:\Windows\Explorer.EXE /NOUACCHECK,High,0x42463, {f4ba3e13-6a29-6a32-6324-040000000000},1,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,,,,,,,,,,,,,,-,C.4f04b5de911bf0cd,C.4f04b5de911bf0cd
1.78169E+12,,,,,,,,,,,2026-06-17 9:44:07, {f4ba3e13-6893-6a32-1100-000000002400},432,C:\Windows\System32\svchost.exe,,,NT AUTHORITY\SYSTEM,,,,,,,,,,,,SetValue,HKU\S-1-5-21-1708988400-3611681687-2257486301-500\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant\Store\C:\Users\Administrator\Desktop\068af8016c36fce5cf1e1a4722c1dc0d6e02cb6ed58b61c2ba99a54d294cc274.exe,Binary Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,InvDB,C.4f04b5de911bf0cd,C.4f04b5de911bf0cd
1.78169E+12,,,,,,,,,,,2026-06-17 9:44:38, {f4ba3e13-6c66-6a32-af00-000000002400},2148,C:\Users\Administrator\Desktop\068af8016c36fce5cf1e1a4722c1dc0d6e02cb6ed58b61c2ba99a54d294cc274.exe,,,CHILD\Administrator,,,,,,,,,,C:\Users\Administrator\AppData\Roaming\winapp\057ae7005b25ebd4be0d0a3611b0cb0c5d01ba5dc47a50b1aa88a43c183bb163.exe,2026-06-17 9:44:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXE,C.4f04b5de911bf0cd,C.4f04b5de911bf0cd
1.78169E+12,,,,,,,,,,,2026-06-17 9:44:43, {f4ba3e13-6c8b-6a32-b000-000000002400},4784,C:\Users\Administrator\AppData\Roaming\winapp\057ae7005b25ebd4be0d0a3611b0cb0c5d01ba5dc47a50b1aa88a43c183bb163.exe,C:\Users\Administrator\AppData\Roaming\winapp\057ae7005b25ebd4be0d0a3611b0cb0c5d01ba5dc47a50b1aa88a43c183bb163.exe,C:\Users\Administrator\AppData\Roaming\winapp\,CHILD\Administrator,"MD5=F0B9F50C6A247AC5CA9CC95135B83DCF,SHA256=068AF8016C36FCE5CF1E1A4722C1DC0D6E02CB6ED58B61C2BA99A54D294CC274,IMPHASH=E24946FD3B548D18411EA3DC85666A69", {f4ba3e13-6c66-6a32-af00-000000002400},2148,C:\Users\Administrator\Desktop\068af8016c36fce5cf1e1a4722c1dc0d6e02cb6ed58b61c2ba99a54d294cc274.exe,"""C:\Users\Administrator\Desktop\068af8016c36fce5cf1e1a4722c1dc0d6e02cb6ed58b61c2ba99a54d294cc274.exe"" ",High,0x42463, {f4ba3e13-6a29-6a32-6324-040000000000},1,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,,,,,,,,,,,,,,-,C.4f04b5de911bf0cd,C.4f04b5de911bf0cd
1.78169E+12,,,,,,,,,,,2026-06-17 9:44:43, {f4ba3e13-6c66-6a32-af00-000000002400},2148,C:\Users\Administrator\Desktop\068af8016c36fce5cf1e1a4722c1dc0d6e02cb6ed58b61c2ba99a54d294cc274.exe,,,CHILD\Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,C.4f04b5de911bf0cd,C.4f04b5de911bf0cd
1.78169E+12,,,,,,,,,,,2026-06-17 9:45:14, {f4ba3e13-6caa-6a32-b100-000000002400},4528,C:\Windows\System32\svchost.exe,svchost.exe -k netsvcs,C:\Users\Administrator\AppData\Roaming\winapp\,CHILD\Administrator,"MD5=36F670D89040709013F6A460176767EC,SHA256=438B6CCD84F4DD32D9684ED7D58FD7D1E5A75FE3F3D12AB6C788E6BB0FFAD5E7,IMPHASH=2CED93915677390B76EE1916B92F3EF6", {f4ba3e13-6c8b-6a32-b000-000000002400},4784,C:\Users\Administrator\AppData\Roaming\winapp\057ae7005b25ebd4be0d0a3611b0cb0c5d01ba5dc47a50b1aa88a43c183bb163.exe,C:\Users\Administrator\AppData\Roaming\winapp\057ae7005b25ebd4be0d0a3611b0cb0c5d01ba5dc47a50b1aa88a43c183bb163.exe,High,0x42463, {f4ba3e13-6a29-6a32-6324-040000000000},1,,,,,,,,,,,,,,,,,,,,,,,Microsoft Corporation,Microsoft® Windows® Operating System,Host Process for Windows Services,10.0.14393.0 (rs1_release.160715-1616),svchost.exe,,,,,,,,,,,,,,-,C.4f04b5de911bf0cd,C.4f04b5de911bf0cd
1.78169E+12,,,,,,,,,,,2026-06-17 9:45:14, {f4ba3e13-6c8b-6a32-b000-000000002400},4784,C:\Users\Administrator\AppData\Roaming\winapp\057ae7005b25ebd4be0d0a3611b0cb0c5d01ba5dc47a50b1aa88a43c183bb163.exe,,,CHILD\Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,C.4f04b5de911bf0cd,C.4f04b5de911bf0cd
1.78169E+12,,,,,,,,,,,2026-06-17 9:45:15, {f4ba3e13-6893-6a32-1000-000000002400},392,C:\Windows\system32\svchost.exe,,,NT AUTHORITY\SYSTEM,,,,,,,,,,C:\Windows\System32\Tasks\services update,2026-06-17 9:45:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1053,C.4f04b5de911bf0cd,C.4f04b5de911bf0cd
1.78169E+12,,,,,,,,,,,2026-06-17 9:45:15, {f4ba3e13-6cab-6a32-b200-000000002400},2656,C:\Program Files\Windows Defender\MpCmdRun.exe,"""C:\Program Files\Windows Defender\\MpCmdRun.exe"" GetDeviceTicket -AccessKey 7B472202-AB3E-1B4D-1F20-3B0A5F6EC854 ",C:\Windows\system32\,NT AUTHORITY\NETWORK SERVICE,"MD5=C37ADF3801F599EDF3180354BBAB2560,SHA256=1C90A322F55D574EF703B9CB0ADFB379CEFA33A2B5D72F04A6E9AAA2F209F6B5,IMPHASH=5F980D25420E31451E189C1082EF5045", {f4ba3e13-689c-6a32-2200-000000002400},1180,C:\Program Files\Windows Defender\MsMpEng.exe,"""C:\Program Files\Windows Defender\MsMpEng.exe""",System,0x3E4, {f4ba3e13-6890-6a32-e403-000000000000},0,,,,,,,,,,,,,,,,,,,,,,,Microsoft Corporation,Microsoft® Windows® Operating System,Microsoft Malware Protection Command Line Utility,4.10.14393.0 (rs1_release.160715-1616),MpCmdRun.exe,,,,,,,,,,,,,,-,C.4f04b5de911bf0cd,C.4f04b5de911bf0cd
